Synset('anabrus.n.01')	Anabrus
Synset('anacyclus.n.01')	Anacyclus
Synset('anagasta.n.01')	Anagasta
Synset('anagyris.n.01')	Anagyris
Synset('ananas.n.01')	Ananas
Synset('anaphalis.n.01')	Anaphalis
Synset('anapsid.n.01')	anapsid
Synset('anapsida.n.01')	Anapsida
Synset('anas.n.01')	Anas
Synset('anasa.n.01')	Anasa
Synset('anaspid.n.01')	anaspid
Synset('anastomus.n.01')	Anastomus
Synset('anchor.n.01')	anchor
Synset('anchorage.n.04')	anchorage
Synset('anchovy_pear.n.01')	anchovy_pear
Synset('anchovy_pear.n.02')	anchovy_pear
Synset('anchovy.n.01')	anchovy
Synset('anchovy.n.02')	anchovy
Synset('anchusa.n.01')	anchusa
Synset('ancylidae.n.01')	Ancylidae
Synset('ancylus.n.01')	Ancylus
Synset('andira.n.01')	Andira
Synset('andorran.n.01')	Andorran
Synset('andrena.n.01')	andrena
Synset('andromeda.n.01')	andromeda
Synset('andromeda.n.02')	andromeda
Synset('andryala.n.01')	andryala
Synset('aneides.n.01')	Aneides
Synset('anemia.n.03')	Anemia
Synset('anemopsis.n.01')	Anemopsis
Synset('aneroid_barometer.n.01')	aneroid_barometer
Synset('angel_shark.n.01')	angel_shark
Synset('angel.n.01')	angel
Synset('angel's_trumpet.n.01')	angel's_trumpet
Synset('angel's_trumpet.n.02')	angel's_trumpet
Synset('angelfish.n.01')	angelfish
Synset('angelica.n.01')	angelica
Synset('angelim.n.01')	angelim
Synset('angevin.n.01')	Angevin
Synset('anglican.n.01')	Anglican
Synset('angolan.n.01')	Angolan
Synset('angrecum.n.01')	angrecum
Synset('angstrom.n.01')	angstrom
Synset('anguidae.n.01')	Anguidae
Synset('anguilla.n.02')	Anguilla
Synset('anguillan.n.01')	Anguillan
Synset('anguillula.n.01')	Anguillula
Synset('anguis.n.01')	Anguis
Synset('angwantibo.n.01')	angwantibo
Synset('anhima.n.01')	Anhima
Synset('anhimidae.n.01')	Anhimidae
Synset('ani.n.01')	ani
Synset('anise.n.01')	anise
Synset('anise.n.02')	anise
Synset('ankle.n.01')	ankle
Synset('anklebone.n.01')	anklebone
Synset('annelid.n.01')	annelid
Synset('annex.n.01')	annex
Synset('annona.n.01')	Annona
Synset('annulus.n.02')	annulus
Synset('annunciation.n.01')	Annunciation
Synset('anoa.n.01')	anoa
Synset('anobiidae.n.01')	Anobiidae
Synset('anode.n.01')	anode
Synset('anode.n.02')	anode
Synset('anogramma.n.01')	Anogramma
Synset('anolis.n.01')	Anolis
Synset('anomala.n.01')	Anomala
Synset('anomalops.n.01')	anomalops
Synset('anomia.n.02')	Anomia
Synset('anomiidae.n.01')	Anomiidae
Synset('anopheline.n.01')	anopheline
Synset('anser.n.01')	Anser
Synset('ant_bear.n.01')	ant_bear
Synset('ant_lion.n.02')	ant_lion
Synset('ant.n.01')	ant
Synset('antbird.n.01')	antbird
Synset('anteater.n.02')	anteater
Synset('antedon.n.01')	Antedon
Synset('antenna.n.01')	antenna
Synset('anteroom.n.01')	anteroom
Synset('anther.n.01')	anther
Synset('antheraea.n.01')	Antheraea
Synset('anthozoa.n.01')	Anthozoa
Synset('anthurium.n.01')	anthurium
Synset('anthus.n.01')	Anthus
Synset('antiaircraft.n.01')	antiaircraft
Synset('antibody.n.01')	antibody
Synset('anticlimax.n.02')	anticlimax
Synset('antigen.n.01')	antigen
Synset('antigenic_determinant.n.01')	antigenic_determinant
Synset('antigonia.n.01')	Antigonia
Synset('antiguan.n.01')	Antiguan
Synset('antilope.n.01')	Antilope
Synset('antimony.n.01')	antimony
Synset('antiquity.n.01')	antiquity
Synset('antler.n.01')	antler
Synset('antrozous.n.01')	Antrozous
Synset('anus.n.01')	anus
Synset('anvil.n.01')	anvil
Synset('aotus.n.01')	Aotus
Synset('aoudad.n.01')	aoudad
Synset('apar.n.01')	apar
Synset('apatite.n.01')	apatite
Synset('apatosaur.n.01')	apatosaur
Synset('apatura.n.01')	Apatura
Synset('aperture.n.01')	aperture
Synset('aperture.n.02')	aperture
Synset('apex.n.02')	apex
Synset('aphid.n.01')	aphid
Synset('aphis.n.01')	Aphis
Synset('aphriza.n.01')	Aphriza
